year,oxygen_used,attempts,success_y
1981.0,False,7,3
1981.0,True,2,1
1982.0,False,6,1
1982.0,True,5,2
1983.0,False,13,8
1983.0,True,6,3
1984.0,False,12,4
1984.0,True,10,5
1985.0,False,13,9
1985.0,True,10,4
1986.0,False,18,9
1986.0,True,8,1
1987.0,False,22,9
1987.0,True,11,2
1988.0,False,31,21
1988.0,True,10,5
1989.0,False,28,9
1989.0,True,19,8
1990.0,False,35,20
1990.0,True,17,10
1991.0,False,39,19
1991.0,True,24,13
1992.0,False,34,23
1992.0,True,31,20
1993.0,False,43,29
1993.0,True,28,24
1994.0,False,39,20
1994.0,True,21,10
1995.0,False,38,29
1995.0,True,25,22
1996.0,False,66,39
1996.0,True,31,23
1997.0,False,63,38
1997.0,True,33,25
1998.0,False,80,57
1998.0,True,36,31
1999.0,False,72,40
1999.0,True,35,27
2000.0,False,87,49
2000.0,True,59,40
2001.0,False,72,40
2001.0,True,59,48
2002.0,False,84,51
2002.0,True,52,43
2003.0,False,81,47
2003.0,True,77,64
2004.0,False,119,82
2004.0,True,78,72
2005.0,False,142,75
2005.0,True,94,69
2006.0,False,169,102
2006.0,True,110,100
2007.0,False,134,54
2007.0,True,106,90
2008.0,False,63,26
2008.0,True,57,51
2009.0,False,119,62
2009.0,True,94,77
2010.0,False,121,39
2010.0,True,78,67
2011.0,False,109,66
2011.0,True,94,73
2012.0,False,57,31
2012.0,True,75,62
2013.0,False,85,25
2013.0,True,78,70
2014.0,False,114,41
2014.0,True,34,32
2015.0,False,73,12
2015.0,True,2,0
2016.0,False,45,34
2016.0,True,79,78
2017.0,False,58,35
2017.0,True,72,56
2018.0,False,48,40
2018.0,True,92,87
2019.0,False,14,4
2019.0,True,73,64
