year,oxygen_used,attempts,success_y
1981,0,2,0
1981,1,2,1
1982,0,2,0
1982,1,4,2
1983,0,4,1
1983,1,6,3
1984,0,3,1
1984,1,9,4
1985,0,3,0
1985,1,8,2
1986,0,7,1
1986,1,8,1
1987,0,6,0
1987,1,10,1
1988,0,7,4
1988,1,10,5
1989,0,9,0
1989,1,19,8
1990,0,7,1
1990,1,14,8
1991,0,11,0
1991,1,21,11
1992,0,5,0
1992,1,26,15
1993,0,5,0
1993,1,23,20
1994,0,7,0
1994,1,18,7
1995,0,5,1
1995,1,17,14
1996,0,16,3
1996,1,23,15
1997,0,15,0
1997,1,24,17
1998,0,14,1
1998,1,27,23
1999,0,11,1
1999,1,27,21
2000,0,14,1
2000,1,44,31
2001,0,12,0
2001,1,40,33
2002,0,8,2
2002,1,42,34
2003,0,15,0
2003,1,58,46
2004,0,9,1
2004,1,55,50
2005,0,27,2
2005,1,69,49
2006,0,19,3
2006,1,76,67
2007,0,13,2
2007,1,77,65
2008,0,5,0
2008,1,52,46
2009,0,16,1
2009,1,62,49
2010,0,11,2
2010,1,69,63
2011,0,16,0
2011,1,76,60
2012,0,10,2
2012,1,69,57
2013,0,7,1
2013,1,67,59
2014,0,38,0
2014,1,12,10
2015,0,52,0
2015,1,1,0
2016,0,6,0
2016,1,60,60
2017,0,11,2
2017,1,69,54
2018,0,3,0
2018,1,71,68
2019,0,2,0
2019,1,72,64
