year,oxygen_used,attempts,success_y
1981,0,7,3
1981,1,2,1
1982,0,6,1
1982,1,5,2
1983,0,13,8
1983,1,6,3
1984,0,12,4
1984,1,10,5
1985,0,13,9
1985,1,10,4
1986,0,18,9
1986,1,8,1
1987,0,22,9
1987,1,11,2
1988,0,31,21
1988,1,10,5
1989,0,28,9
1989,1,19,8
1990,0,35,20
1990,1,17,10
1991,0,39,19
1991,1,24,13
1992,0,34,23
1992,1,31,20
1993,0,43,29
1993,1,28,24
1994,0,39,20
1994,1,21,10
1995,0,38,29
1995,1,25,22
1996,0,66,39
1996,1,31,23
1997,0,63,38
1997,1,33,25
1998,0,80,57
1998,1,36,31
1999,0,72,40
1999,1,35,27
2000,0,87,49
2000,1,59,40
2001,0,72,40
2001,1,59,48
2002,0,84,51
2002,1,52,43
2003,0,81,47
2003,1,77,64
2004,0,119,82
2004,1,78,72
2005,0,142,75
2005,1,94,69
2006,0,169,102
2006,1,110,100
2007,0,134,54
2007,1,106,90
2008,0,63,26
2008,1,57,51
2009,0,119,62
2009,1,94,77
2010,0,121,39
2010,1,78,67
2011,0,109,66
2011,1,94,73
2012,0,57,31
2012,1,75,62
2013,0,85,25
2013,1,78,70
2014,0,114,41
2014,1,34,32
2015,0,73,12
2015,1,2,0
2016,0,45,34
2016,1,79,78
2017,0,58,35
2017,1,72,56
2018,0,48,40
2018,1,92,87
2019,0,14,4
2019,1,73,64
