year,oxygen_used,attempts,success_y
1981,0,1,0
1981,1,0,0
1982,0,2,0
1982,1,1,0
1983,0,4,2
1983,1,0,0
1984,0,4,2
1984,1,1,1
1985,0,3,3
1985,1,2,2
1986,0,5,4
1986,1,0,0
1987,0,9,6
1987,1,1,1
1988,0,16,13
1988,1,0,0
1989,0,11,6
1989,1,0,0
1990,0,15,9
1990,1,3,2
1991,0,16,12
1991,1,3,2
1992,0,10,8
1992,1,5,5
1993,0,22,16
1993,1,5,4
1994,0,20,12
1994,1,3,3
1995,0,13,12
1995,1,8,8
1996,0,26,20
1996,1,8,8
1997,0,29,25
1997,1,9,8
1998,0,28,23
1998,1,9,8
1999,0,31,18
1999,1,7,6
2000,0,35,21
2000,1,13,8
2001,0,35,22
2001,1,19,15
2002,0,46,26
2002,1,10,9
2003,0,28,15
2003,1,19,18
2004,0,57,39
2004,1,21,20
2005,0,59,28
2005,1,25,20
2006,0,78,49
2006,1,34,33
2007,0,65,22
2007,1,27,23
2008,0,8,3
2008,1,5,5
2009,0,45,20
2009,1,31,27
2010,0,56,5
2010,1,7,3
2011,0,33,16
2011,1,18,13
2012,0,7,2
2012,1,6,5
2013,0,21,11
2013,1,10,10
2014,0,21,12
2014,1,20,20
2015,0,6,0
2015,1,0,0
2016,0,10,7
2016,1,18,18
2017,0,2,0
2017,1,1,0
2018,0,5,4
2018,1,16,16
2019,0,3,0
2019,1,0,0
